,timestamp,stored,actor,verb,object,result
1280,2023-03-10 11:56:55.623000+00:00,2023-03-10T11:56:55.623Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1279,2023-03-10 11:57:00.987000+00:00,2023-03-10T11:57:00.987Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1278,2023-03-10 11:57:03.256000+00:00,2023-03-10T11:57:03.256Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1277,2023-03-10 11:57:08.117000+00:00,2023-03-10T11:57:08.117Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1276,2023-03-10 11:57:08.291000+00:00,2023-03-10T11:57:08.291Z,Tablet1,Swiped,Left,"{""score"":{""raw"":0}}"
1275,2023-03-10 11:57:09.580000+00:00,2023-03-10T11:57:09.580Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1274,2023-03-10 11:57:11.187000+00:00,2023-03-10T11:57:11.187Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1273,2023-03-10 11:57:12.897000+00:00,2023-03-10T11:57:12.897Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1272,2023-03-10 11:57:13.256000+00:00,2023-03-10T11:57:13.256Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1271,2023-03-10 11:57:22.663000+00:00,2023-03-10T11:57:22.663Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1270,2023-03-10 11:57:30.209000+00:00,2023-03-10T11:57:30.209Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1269,2023-03-10 11:57:48.186000+00:00,2023-03-10T11:57:48.186Z,Teacher,Asked,5/0,
1268,2023-03-10 11:57:48.236000+00:00,2023-03-10T11:57:48.236Z,Teacher,Started,test,
1267,2023-03-10 11:58:36.295000+00:00,2023-03-10T11:58:36.295Z,Tablet1,Logged Out,Salesianos,"{""score"":{""raw"":0}}"
1266,2023-03-10 11:58:37.933000+00:00,2023-03-10T11:58:37.933Z,PC009,Logged Out,Salesianos,
1265,2023-03-10 11:58:38.594000+00:00,2023-03-10T11:58:38.594Z,PC004,Logged Out,Salesianos,
1264,2023-03-10 11:58:39.606000+00:00,2023-03-10T11:58:39.606Z,Tablet 2,Logged Out,Salesianos,"{""score"":{""raw"":0}}"
1263,2023-03-10 11:58:40.474000+00:00,2023-03-10T11:58:40.474Z,PC008,Logged Out,Salesianos,
1262,2023-03-10 11:58:41.110000+00:00,2023-03-10T11:58:41.110Z,Android2,Logged Out,Salesianos,"{""score"":{""raw"":0}}"
1261,2023-03-10 11:58:42.084000+00:00,2023-03-10T11:58:42.084Z,Android4,Logged Out,Salesianos,"{""score"":{""raw"":0}}"
1260,2023-03-10 11:58:43.111000+00:00,2023-03-10T11:58:43.111Z,PC006,Logged Out,Salesianos,
1259,2023-03-10 11:58:44.433000+00:00,2023-03-10T11:58:44.433Z,Android1,Logged Out,Salesianos,"{""score"":{""raw"":0}}"
1258,2023-03-10 11:58:46.345000+00:00,2023-03-10T11:58:46.345Z,Iphone 1,Swiped,Left,"{""score"":{""raw"":0}}"
1257,2023-03-10 11:58:50.240000+00:00,2023-03-10T11:58:50.240Z,PC003,Logged Out,Salesianos,
1256,2023-03-10 11:58:50.714000+00:00,2023-03-10T11:58:50.714Z,PC002,Logged Out,Salesianos,
1255,2023-03-10 11:58:52.435000+00:00,2023-03-10T11:58:52.435Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1254,2023-03-10 11:58:53.023000+00:00,2023-03-10T11:58:53.023Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1253,2023-03-10 11:58:54.060000+00:00,2023-03-10T11:58:54.060Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1252,2023-03-10 11:58:54.243000+00:00,2023-03-10T11:58:54.243Z,Iphone 1,Swiped,Left,"{""score"":{""raw"":0}}"
1251,2023-03-10 11:58:55.161000+00:00,2023-03-10T11:58:55.161Z,Iphone 1,Swiped,Right,"{""score"":{""raw"":0}}"
1250,2023-03-10 11:58:55.264000+00:00,2023-03-10T11:58:55.264Z,Iphone 1,Swiped,Left,"{""score"":{""raw"":0}}"
1249,2023-03-10 11:59:59.761000+00:00,2023-03-10T11:59:59.761Z,PC006,Logged In,Salesianos,
1248,2023-03-10 12:00:01.495000+00:00,2023-03-10T12:00:01.495Z,Tablet 2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1247,2023-03-10 12:00:03.031000+00:00,2023-03-10T12:00:03.031Z,PC004,Logged In,Salesianos,
1246,2023-03-10 12:00:04.136000+00:00,2023-03-10T12:00:04.136Z,PC003,Logged In,Salesianos,
1245,2023-03-10 12:00:04.158000+00:00,2023-03-10T12:00:04.158Z,PC009,Logged In,Salesianos,
1244,2023-03-10 12:00:04.510000+00:00,2023-03-10T12:00:04.510Z,iPad2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1243,2023-03-10 12:00:04.853000+00:00,2023-03-10T12:00:04.853Z,PC008,Logged In,Salesianos,
1242,2023-03-10 12:00:05.914000+00:00,2023-03-10T12:00:05.914Z,Teacher,Logged In,Salesianos,
1241,2023-03-10 12:00:05.938000+00:00,2023-03-10T12:00:05.938Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1240,2023-03-10 12:00:07.001000+00:00,2023-03-10T12:00:07.001Z,iPad1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1239,2023-03-10 12:00:08.071000+00:00,2023-03-10T12:00:08.071Z,Android2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1238,2023-03-10 12:00:08.596000+00:00,2023-03-10T12:00:08.596Z,PC007,Logged In,Salesianos,
1237,2023-03-10 12:00:10.535000+00:00,2023-03-10T12:00:10.535Z,iphone 1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1236,2023-03-10 12:00:13.298000+00:00,2023-03-10T12:00:13.298Z,iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1235,2023-03-10 12:00:13.495000+00:00,2023-03-10T12:00:13.495Z,Android4,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1234,2023-03-10 12:00:14.585000+00:00,2023-03-10T12:00:14.585Z,Android2,Placed,Earth,"{""score"":{""raw"":0}}"
1233,2023-03-10 12:00:14.938000+00:00,2023-03-10T12:00:14.938Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1232,2023-03-10 12:00:15.677000+00:00,2023-03-10T12:00:15.677Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1231,2023-03-10 12:00:16.236000+00:00,2023-03-10T12:00:16.236Z,Tablet1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1230,2023-03-10 12:00:17.461000+00:00,2023-03-10T12:00:17.461Z,Android4,Placed,Earth,"{""score"":{""raw"":0}}"
1229,2023-03-10 12:00:19.149000+00:00,2023-03-10T12:00:19.149Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1228,2023-03-10 12:00:19.160000+00:00,2023-03-10T12:00:19.160Z,iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1227,2023-03-10 12:00:19.785000+00:00,2023-03-10T12:00:19.785Z,iPad2,Swiped,Left,"{""score"":{""raw"":0}}"
1226,2023-03-10 12:00:20.466000+00:00,2023-03-10T12:00:20.466Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1225,2023-03-10 12:00:21.342000+00:00,2023-03-10T12:00:21.342Z,iPad1,Swiped,Left,"{""score"":{""raw"":0}}"
1224,2023-03-10 12:00:23.917000+00:00,2023-03-10T12:00:23.917Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1223,2023-03-10 12:00:27.461000+00:00,2023-03-10T12:00:27.461Z,PC002,Logged In,Salesianos,
1222,2023-03-10 12:00:27.543000+00:00,2023-03-10T12:00:27.543Z,iPad2,Swiped,Right,"{""score"":{""raw"":0}}"
1221,2023-03-10 12:00:27.675000+00:00,2023-03-10T12:00:27.675Z,iPad2,Swiped,Left,"{""score"":{""raw"":0}}"
1220,2023-03-10 12:00:28.949000+00:00,2023-03-10T12:00:28.949Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1219,2023-03-10 12:00:31+00:00,2023-03-10T12:00:31.000Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1218,2023-03-10 12:00:31.233000+00:00,2023-03-10T12:00:31.233Z,Android1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1217,2023-03-10 12:00:36.915000+00:00,2023-03-10T12:00:36.915Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1216,2023-03-10 12:00:38.095000+00:00,2023-03-10T12:00:38.095Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1215,2023-03-10 12:00:40.605000+00:00,2023-03-10T12:00:40.605Z,iPad2,Swiped,Right,"{""score"":{""raw"":0}}"
1214,2023-03-10 12:00:40.725000+00:00,2023-03-10T12:00:40.725Z,iPad2,Swiped,Left,"{""score"":{""raw"":0}}"
1213,2023-03-10 12:00:41.012000+00:00,2023-03-10T12:00:41.012Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1212,2023-03-10 12:00:42.133000+00:00,2023-03-10T12:00:42.133Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1211,2023-03-10 12:00:45.321000+00:00,2023-03-10T12:00:45.321Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1210,2023-03-10 12:00:45.780000+00:00,2023-03-10T12:00:45.780Z,iPad1,Placed,Earth,"{""score"":{""raw"":0}}"
1209,2023-03-10 12:00:45.907000+00:00,2023-03-10T12:00:45.907Z,iPad1,Swiped,Left,"{""score"":{""raw"":0}}"
1208,2023-03-10 12:00:48.197000+00:00,2023-03-10T12:00:48.197Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1207,2023-03-10 12:00:50.054000+00:00,2023-03-10T12:00:50.054Z,Tablet1,Placed,Earth,"{""score"":{""raw"":0}}"
1206,2023-03-10 12:00:53.415000+00:00,2023-03-10T12:00:53.415Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1205,2023-03-10 12:00:55.898000+00:00,2023-03-10T12:00:55.898Z,iPad2,Placed,Earth,"{""score"":{""raw"":0}}"
1204,2023-03-10 12:00:57.050000+00:00,2023-03-10T12:00:57.050Z,iPad2,Swiped,Left,"{""score"":{""raw"":0}}"
1203,2023-03-10 12:01:03.235000+00:00,2023-03-10T12:01:03.235Z,iPad2,Swiped,Right,"{""score"":{""raw"":0}}"
1202,2023-03-10 12:01:10.358000+00:00,2023-03-10T12:01:10.358Z,Android1,Placed,Earth,"{""score"":{""raw"":0}}"
1201,2023-03-10 12:01:11.038000+00:00,2023-03-10T12:01:11.038Z,PC009,Logged Out,Salesianos,
1200,2023-03-10 12:01:12.211000+00:00,2023-03-10T12:01:12.211Z,PC006,Logged Out,Salesianos,
1199,2023-03-10 12:01:13.060000+00:00,2023-03-10T12:01:13.060Z,Tablet 2,Placed,Earth,"{""score"":{""raw"":0}}"
1198,2023-03-10 12:01:13.215000+00:00,2023-03-10T12:01:13.215Z,PC003,Logged Out,Salesianos,
1197,2023-03-10 12:01:13.385000+00:00,2023-03-10T12:01:13.385Z,Tablet 2,Swiped,Left,"{""score"":{""raw"":0}}"
1196,2023-03-10 12:01:13.642000+00:00,2023-03-10T12:01:13.642Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
1195,2023-03-10 12:01:15.584000+00:00,2023-03-10T12:01:15.584Z,PC002,Logged Out,Salesianos,
1194,2023-03-10 12:01:17.241000+00:00,2023-03-10T12:01:17.241Z,Tablet 2,Swiped,Left,"{""score"":{""raw"":0}}"
1193,2023-03-10 12:01:17.669000+00:00,2023-03-10T12:01:17.669Z,Tablet 2,Swiped,Right,"{""score"":{""raw"":0}}"
